Ag,Hopea,Siirtymämetallit
Al,Alumiini,Booriryhmä
Ar,Argon,Jalokaasut
Au,Kulta,Siirtymämetallit
B,Boori,Booriryhmä
Ba,Barium,Maa-alkalimetallit
Be,Beryllium,Maa-alkalimetallit
Br,Bromi,Halogeenit
C,Hiili,Hiiliryhmä
Ca,Kalsium,Maa-alkalimetallit
Cl,Kloori,Halogeenit
Co,Koboltti,Siirtymämetallit
Cr,Kromi,Siirtymämetallit
Cs,Cesium,Alkalimetallit
Cu,Kupari,Siirtymämetallit
F,Fluori,Halogeenit
Fe,Rauta,Siirtymämetallit
Fr,Frankium,Alkalimetallit
H,Vety,Alkalimetallit
He,Helium,Jalokaasut
Hg,Elohopea,Siirtymämetallit
I,Jodi,Halogeenit
K,Kalium,Alkalimetallit
Kr,Krypton,Jalokaasut
Li,Litium,Alkalimetallit
Mg,Magnesium,Maa-alkalimetallit
Mn,Mangaani,Siirtymämetallit
N,Typpi,Typpiryhmä
Na,Natrium,Alkalimetallit
Ne,Neon,Jalokaasut
Ni,Nikkeli,Siirtymämetallit
O,Happi,Happiryhmä
P,Fosfori,Typpiryhmä
Pb,Lyijy,Hiiliryhmä
Pt,Platina,Siirtymämetallit
Rb,Rubidium,Alkalimetallit
Rn,Radon,Jalokaasut
S,Rikki,Happiryhmä
Sc,Skandium,Siirtymämetallit
Se,Seleeni,Happiryhmä
Si,Pii,Hiiliryhmä
Sn,Tina,Hiiliryhmä
Sr,Strontium,Maa-alkalimetallit
Ti,Titaani,Siirtymämetallit
V,Vanadiini,Siirtymämetallit
Xe,Ksenon,Jalokaasut
Zn,Sinkki,Siirtymämetallit
